Tempo(s),Canal0(V),Canal2(V),Canal3(V),Label
0.0018427371978759,1.24225,1.88325,2.08375,0
0.1862275600433349,1.32225,1.9235,2.08375,0
0.6932351589202881,1.32225,2.04375,2.12375,0
0.9810724258422852,1.28225,1.9235,2.08375,0
1.0050461292266846,1.28225,1.84325,2.08375,0
1.0263893604278564,1.28225,1.84325,2.0035,0
1.048008918762207,1.3625,1.80325,2.0035,0
1.0696451663970947,1.28225,1.84325,2.0035,0
1.0911893844604492,1.32225,1.9235,2.08375,0
1.1129450798034668,1.28225,1.88325,2.08375,0
1.1346533298492432,1.24225,1.9235,2.12375,0
1.1563255786895752,1.32225,1.9235,2.244,0
1.1781249046325684,1.3625,1.9235,2.16375,0
1.1999263763427734,1.32225,2.0035,2.16375,0
1.2215991020202637,1.28225,2.0035,2.16375,0
1.2433180809020996,1.28225,1.9635,2.08375,0
1.2650361061096191,1.3625,1.9235,2.08375,0
1.2866499423980713,1.28225,1.9235,2.08375,0
1.3088245391845703,1.3625,1.9235,2.08375,0
1.3304486274719238,1.3625,1.9235,2.08375,0
1.3520755767822266,1.28225,1.84325,2.16375,0
1.3737938404083252,1.3625,1.84325,2.16375,0
1.3954124450683594,1.4025,1.9235,2.16375,0
1.417224407196045,1.3625,1.84325,2.16375,0
1.4388995170593262,1.4025,1.9235,2.244,0
1.460618495941162,1.3625,1.88325,2.08375,0
1.482421875,1.48275,1.84325,2.0035,0
1.5041756629943848,1.3625,1.84325,2.08375,0
1.5260343551635742,1.4425,1.84325,1.9635,0
1.547743558883667,1.4425,1.76325,1.9635,0
1.5696511268615725,1.3625,1.84325,2.08375,0
1.5919535160064695,1.4425,1.88325,2.204,0
1.6138803958892822,1.48275,1.84325,2.08375,0
1.6385505199432373,1.3625,1.88325,2.16375,0
1.660841464996338,1.3625,1.88325,2.08375,0
1.682969331741333,1.3625,1.84325,2.12375,0
1.7049520015716553,1.3625,1.9235,2.16375,0
1.726442813873291,1.28225,1.9235,2.08375,0
1.7483651638031006,1.32225,1.84325,2.08375,0
1.7698957920074463,1.20225,1.9235,2.08375,0
1.7918531894683838,1.28225,1.84325,2.08375,0
1.813948631286621,1.28225,1.9235,2.0035,0
1.8358943462371824,1.24225,1.9235,2.08375,0
1.8580424785614016,1.28225,1.9235,2.16375,0
1.882606029510498,1.28225,1.88325,2.12375,0
1.9042439460754397,1.28225,1.9235,2.08375,0
1.9263520240783691,1.32225,1.88325,2.08375,0
1.94850492477417,1.32225,1.84325,2.04375,0
1.9704842567443848,1.28225,1.9235,2.08375,0
1.9926214218139648,1.3625,1.9235,2.08375,0
2.014693260192871,1.3625,1.9235,2.08375,0
2.036898136138916,1.28225,1.88325,2.16375,0
2.0590343475341797,1.32225,1.9235,2.12375,0
2.081216335296631,1.3625,1.9235,2.08375,0
2.1032474040985107,1.20225,1.9235,2.16375,0
2.1255197525024414,1.28225,1.9235,2.16375,0
2.147719621658325,1.3625,1.84325,2.0035,0
2.170311212539673,1.28225,1.84325,2.08375,0
2.1926839351654053,1.28225,1.9235,2.08375,0
2.2149300575256348,1.3625,1.84325,2.08375,0
2.237046718597412,1.28225,1.84325,2.08375,0
2.258721113204956,1.28225,1.9235,2.12375,0
2.280977964401245,1.28225,1.9235,2.08375,0
2.3026368618011475,1.24225,1.9235,2.12375,0
2.3249077796936035,1.28225,1.9235,2.16375,0
2.3471789360046387,1.28225,1.84325,2.08375,0
2.369520425796509,1.24225,1.84325,2.08375,0
2.391725778579712,1.28225,1.84325,2.08375,0
2.414142608642578,1.28225,1.84325,2.0035,0
2.4365124702453613,1.24225,1.9235,2.08375,0
2.4586434364318848,1.28225,1.84325,2.16375,0
2.480931282043457,1.32225,1.88325,2.08375,0
2.502640724182129,1.20225,1.9235,2.16375,0
2.5249886512756348,1.32225,1.9235,2.16375,0
2.5467350482940674,1.3625,1.9235,2.08375,0
2.5690550804138184,1.28225,1.88325,2.12375,0
2.591344833374023,1.28225,1.88325,2.12375,0
2.6139168739318848,1.28225,1.88325,2.08375,0
2.6362805366516113,1.28225,1.88325,2.08375,0
2.6587331295013428,1.28225,1.9235,2.16375,0
2.6811933517456055,1.28225,1.9235,2.08375,0
2.7034876346588135,1.20225,1.9235,2.08375,0
2.726041316986084,1.28225,1.9235,2.12375,0
2.7489304542541504,1.32225,1.9235,2.16375,0
2.771254777908325,1.28225,1.88325,2.12375,0
2.794022560119629,1.28225,1.9235,2.08375,0
2.816359758377075,1.28225,1.84325,2.04375,0
2.838291645050049,1.24225,1.88325,2.08375,0
2.8607542514801025,1.28225,1.88325,2.08375,0
2.8831276893615723,1.28225,1.84325,2.08375,0
2.905611515045166,1.28225,1.88325,2.16375,0
2.928008556365967,1.32225,1.9235,2.08375,0
2.950561285018921,1.32225,1.84325,2.08375,0
2.9730494022369385,1.32225,1.9235,2.16375,0
2.995434045791626,1.3625,1.9235,2.08375,0
3.0180823802948,1.28225,1.84325,2.08375,0
3.0409326553344727,1.3625,1.9235,2.08375,0
3.063617706298828,1.3625,1.84325,2.0035,0
3.0861382484436035,1.28225,1.84325,2.08375,0
3.10864520072937,1.28225,1.9235,2.08375,0
3.1310768127441406,1.28225,1.88325,2.0035,0
3.1535916328430176,1.20225,1.9235,2.08375,0
3.1761841773986816,1.28225,1.9235,2.12375,0
3.198744773864746,1.32225,1.84325,2.12375,0
3.221327781677246,1.24225,1.9235,2.16375,0
3.243811845779419,1.28225,1.9235,2.08375,0
3.2664942741394043,1.24225,1.84325,2.08375,0
3.2890372276306152,1.28225,1.88325,2.12375,0
3.3116488456726074,1.28225,1.88325,2.04375,0
3.3347091674804688,1.24225,1.9235,2.12375,0
3.357327699661255,1.28225,1.9235,2.16375,0
3.379934549331665,1.32225,1.9235,2.08375,0
3.402647018432617,1.28225,1.9235,2.12375,0
3.425286054611206,1.32225,1.9235,2.16375,0
3.4478681087493896,1.28225,1.88325,2.08375,0
3.470468521118164,1.28225,1.84325,2.08375,0
3.49312162399292,1.28225,1.88325,2.04375,0
3.515739679336548,1.28225,1.84325,2.08375,0
3.53852915763855,1.24225,1.88325,2.08375,0
3.5612282752990723,1.28225,1.88325,2.08375,0
